Date,Site.ID,Daily.Mean.PM2.5.Concentration
4/10/2021,360050110,9.2
4/11/2021,360050110,7.9
4/12/2021,360050110,5
4/13/2021,360050110,4.6
4/14/2021,360050110,8.8
4/15/2021,360050110,7.6
4/16/2021,360050110,3.6
4/17/2021,360050110,3.1
4/18/2021,360050110,7.5
4/19/2021,360050110,9.5
4/20/2021,360050110,10.3
4/21/2021,360050110,7.3
4/22/2021,360050110,4.5
4/23/2021,360050110,6.9
4/24/2021,360050110,14.4
4/25/2021,360050110,11.2
4/26/2021,360050110,4.5
4/27/2021,360050110,7.1
4/28/2021,360050110,15.4
4/29/2021,360050110,21.9
4/30/2021,360050110,3.2
5/1/2021,360050110,3.2
5/2/2021,360050110,7.2
5/3/2021,360050110,6.8
5/4/2021,360050110,8.8
5/5/2021,360050110,5.8
5/6/2021,360050110,3
5/7/2021,360050110,4
5/8/2021,360050110,5.5
5/9/2021,360050110,6.2
5/10/2021,360050110,3.3
5/11/2021,360050110,4
5/12/2021,360050110,3.7
5/13/2021,360050110,4.6
5/14/2021,360050110,6.6
5/15/2021,360050110,8
5/16/2021,360050110,8.4
5/17/2021,360050110,10
5/18/2021,360050110,9.8
5/19/2021,360050110,11.2
5/20/2021,360050110,6.8
5/21/2021,360050110,7.9
5/22/2021,360050110,14.7
5/23/2021,360050110,8.8
5/24/2021,360050110,4.8
5/25/2021,360050110,9.3
5/26/2021,360050110,15.8
5/27/2021,360050110,6.8
5/28/2021,360050110,4.3
5/29/2021,360050110,2.1
5/30/2021,360050110,3.2
5/31/2021,360050110,3.4
6/1/2021,360050110,10.5
6/2/2021,360050110,9.7
6/3/2021,360050110,9.8
6/4/2021,360050110,8.7
6/5/2021,360050110,12.2
6/6/2021,360050110,17.3
6/7/2021,360050110,19.7
6/8/2021,360050110,11.8
6/9/2021,360050110,9
6/10/2021,360050110,8.3
6/11/2021,360050110,8.9
6/12/2021,360050110,8.9
6/13/2021,360050110,8.2
6/14/2021,360050110,5.9
6/15/2021,360050110,7
6/16/2021,360050110,5.4
6/17/2021,360050110,4.4
6/18/2021,360050110,7.5
6/19/2021,360050110,11.7
6/20/2021,360050110,13.5
6/21/2021,360050110,15
6/22/2021,360050110,6.3
6/23/2021,360050110,3.9
6/24/2021,360050110,5.6
6/25/2021,360050110,5.3
6/26/2021,360050110,9.3
6/27/2021,360050110,11.9
6/28/2021,360050110,11.6
6/29/2021,360050110,11.1
6/30/2021,360050110,11.6
7/1/2021,360050110,9
7/2/2021,360050110,7
7/3/2021,360050110,2.4
7/4/2021,360050110,21.3
7/5/2021,360050110,26.8
7/6/2021,360050110,18.6
7/7/2021,360050110,23.4
7/8/2021,360050110,15.6
7/9/2021,360050110,6
7/10/2021,360050110,9.6
7/11/2021,360050110,10.6
7/12/2021,360050110,10
7/13/2021,360050110,8.8
7/14/2021,360050110,10.1
7/15/2021,360050110,10.9
7/16/2021,360050110,16.1
7/17/2021,360050110,16.4
7/18/2021,360050110,7.1
7/19/2021,360050110,6.5
7/20/2021,360050110,62.1
7/21/2021,360050110,30.4
7/22/2021,360050110,8.9
7/23/2021,360050110,10
7/24/2021,360050110,11.4
7/25/2021,360050110,16.5
7/26/2021,360050110,32.9
7/27/2021,360050110,30.3
7/28/2021,360050110,15.9
7/29/2021,360050110,14.3
7/30/2021,360050110,10.3
7/31/2021,360050110,7.2
8/1/2021,360050110,6.4
8/2/2021,360050110,7.4
8/3/2021,360050110,7.1
8/4/2021,360050110,8.7
8/5/2021,360050110,8.3
8/6/2021,360050110,13.8
8/7/2021,360050110,11.1
8/8/2021,360050110,8.9
8/9/2021,360050110,7.4
8/10/2021,360050110,9.5
8/11/2021,360050110,11.4
8/12/2021,360050110,9.2
8/13/2021,360050110,8.9
8/14/2021,360050110,8.3
8/15/2021,360050110,6.5
8/16/2021,360050110,6.9
8/17/2021,360050110,5.9
8/18/2021,360050110,6.1
8/19/2021,360050110,4.1
8/20/2021,360050110,4.8
8/21/2021,360050110,6.4
8/22/2021,360050110,6.9
8/23/2021,360050110,5.6
8/24/2021,360050110,9.1
8/25/2021,360050110,13.1
8/26/2021,360050110,18.2
8/27/2021,360050110,13.6
8/28/2021,360050110,8.4
8/29/2021,360050110,7.6
8/30/2021,360050110,10.9
8/31/2021,360050110,9.7
9/1/2021,360050110,8.6
9/2/2021,360050110,4.3
9/3/2021,360050110,3.2
9/4/2021,360050110,4.2
9/5/2021,360050110,7.4
9/6/2021,360050110,8.3
9/7/2021,360050110,6
9/8/2021,360050110,9.4
9/9/2021,360050110,7.9
9/10/2021,360050110,4.9
9/11/2021,360050110,6.9
9/12/2021,360050110,9.4
9/13/2021,360050110,9.6
9/14/2021,360050110,8.4
9/15/2021,360050110,14.8
9/16/2021,360050110,6
9/17/2021,360050110,8.7
9/18/2021,360050110,8.8
9/19/2021,360050110,5.9
9/20/2021,360050110,5.8
9/21/2021,360050110,4.9
9/22/2021,360050110,6.1
9/23/2021,360050110,7.7
9/24/2021,360050110,4.6
9/25/2021,360050110,6.3
9/26/2021,360050110,5.9
9/27/2021,360050110,5.9
9/28/2021,360050110,7.7
9/29/2021,360050110,3.7
9/30/2021,360050110,3.7
10/1/2021,360050110,4.2
10/2/2021,360050110,7.1
10/3/2021,360050110,12.6
10/4/2021,360050110,8.2
10/5/2021,360050110,4.1
10/6/2021,360050110,6.1
10/7/2021,360050110,9.2
10/8/2021,360050110,10.2
10/9/2021,360050110,10
10/10/2021,360050110,7.2
10/11/2021,360050110,6.5
10/12/2021,360050110,7.3
10/13/2021,360050110,10.3
10/14/2021,360050110,9
10/15/2021,360050110,9.7
10/16/2021,360050110,8.4
10/17/2021,360050110,4.3
10/18/2021,360050110,3.3
10/19/2021,360050110,4.2
10/20/2021,360050110,7
10/21/2021,360050110,10.6
10/22/2021,360050110,7.8
10/23/2021,360050110,5.1
10/24/2021,360050110,7.7
10/25/2021,360050110,9.9
10/26/2021,360050110,3.2
10/27/2021,360050110,4.3
10/28/2021,360050110,6.2
10/29/2021,360050110,6.7
10/30/2021,360050110,6.2
10/31/2021,360050110,6.6
11/1/2021,360050110,4.6
11/2/2021,360050110,6.1
11/3/2021,360050110,5.1
11/4/2021,360050110,4.2
11/5/2021,360050110,5.9
11/6/2021,360050110,9.9
11/7/2021,360050110,14.8
11/8/2021,360050110,13.8
11/9/2021,360050110,17.7
11/10/2021,360050110,13.6
11/11/2021,360050110,6.8
11/12/2021,360050110,7.9
11/13/2021,360050110,6.9
11/14/2021,360050110,7.2
11/15/2021,360050110,5.5
11/16/2021,360050110,5.7
11/17/2021,360050110,10
11/18/2021,360050110,19
11/19/2021,360050110,3.8
11/20/2021,360050110,3.9
11/21/2021,360050110,7.5
11/22/2021,360050110,7.9
11/23/2021,360050110,3.5
11/24/2021,360050110,5.2
11/25/2021,360050110,15
11/26/2021,360050110,11
11/27/2021,360050110,3.7
11/28/2021,360050110,11.6
11/29/2021,360050110,9.7
11/30/2021,360050110,10.1
12/1/2021,360050110,12.1
12/2/2021,360050110,15.4
12/3/2021,360050110,3.8
12/4/2021,360050110,9.4
12/5/2021,360050110,7.5
12/6/2021,360050110,14.4
12/7/2021,360050110,6.4
12/8/2021,360050110,10.1
12/9/2021,360050110,12.2
12/10/2021,360050110,18.2
12/11/2021,360050110,13.9
12/12/2021,360050110,7.7
12/13/2021,360050110,6.4
12/14/2021,360050110,6.2
12/15/2021,360050110,6.6
12/16/2021,360050110,10.4
12/17/2021,360050110,6.1
12/18/2021,360050110,8.9
12/19/2021,360050110,4.8
12/20/2021,360050110,5.9
12/21/2021,360050110,13.5
12/22/2021,360050110,11
12/23/2021,360050110,5.3
12/24/2021,360050110,12.8
12/25/2021,360050110,24.3
12/26/2021,360050110,5.2
12/27/2021,360050110,5.6
12/28/2021,360050110,12.5
12/29/2021,360050110,15.9
12/30/2021,360050110,20.5
12/31/2021,360050110,18.2
1/1/2021,360050112,9.8
1/2/2021,360050112,8
1/3/2021,360050112,8.7
1/4/2021,360050112,8.7
1/5/2021,360050112,9.1
1/6/2021,360050112,8.8
1/7/2021,360050112,7.2
1/8/2021,360050112,7.4
1/9/2021,360050112,7.7
1/10/2021,360050112,9.7
1/11/2021,360050112,14.7
1/12/2021,360050112,16.4
1/13/2021,360050112,16
1/14/2021,360050112,18.3
1/15/2021,360050112,13.2
1/16/2021,360050112,5.2
1/17/2021,360050112,10.3
1/18/2021,360050112,8.8
1/19/2021,360050112,8.8
1/20/2021,360050112,7.8
1/21/2021,360050112,9.6
1/22/2021,360050112,9.2
1/23/2021,360050112,6
1/24/2021,360050112,5
1/25/2021,360050112,7
1/26/2021,360050112,6.8
1/27/2021,360050112,7.9
1/28/2021,360050112,4.7
1/29/2021,360050112,4.2
2/2/2021,360050112,5.2
2/3/2021,360050112,6.3
2/4/2021,360050112,7.3
2/5/2021,360050112,12.4
2/6/2021,360050112,8.8
2/7/2021,360050112,9.7
2/8/2021,360050112,8.2
2/9/2021,360050112,10.1
2/10/2021,360050112,10.7
2/11/2021,360050112,8.5
2/12/2021,360050112,5.7
2/13/2021,360050112,5.4
2/14/2021,360050112,8.7
2/15/2021,360050112,8.3
