Date,Site.ID,Daily.Max.8.hour.CO.Concentration
8/27/2022,360050133,0.4
8/28/2022,360050133,0.3
8/29/2022,360050133,0.2
8/30/2022,360050133,0.2
8/31/2022,360050133,0.2
9/1/2022,360050133,0.2
9/2/2022,360050133,0.2
9/3/2022,360050133,0.4
9/4/2022,360050133,0.3
9/5/2022,360050133,0.3
9/6/2022,360050133,0.2
9/7/2022,360050133,0.2
9/8/2022,360050133,0.3
9/9/2022,360050133,0.4
9/10/2022,360050133,0.2
9/11/2022,360050133,0.3
9/12/2022,360050133,0.3
9/13/2022,360050133,0.3
9/14/2022,360050133,0.2
9/15/2022,360050133,0.2
9/16/2022,360050133,0.5
9/17/2022,360050133,0.5
9/18/2022,360050133,0.3
9/19/2022,360050133,0.3
9/20/2022,360050133,0.2
9/21/2022,360050133,0.3
9/22/2022,360050133,0.3
9/23/2022,360050133,0.1
9/24/2022,360050133,0.2
9/25/2022,360050133,0.3
9/26/2022,360050133,0.2
9/27/2022,360050133,0.2
9/28/2022,360050133,0.2
9/29/2022,360050133,0.2
9/30/2022,360050133,0.2
10/1/2022,360050133,0.2
10/2/2022,360050133,0.1
10/3/2022,360050133,0.2
10/4/2022,360050133,0.2
10/5/2022,360050133,0.2
10/6/2022,360050133,1.1
10/7/2022,360050133,1.3
10/8/2022,360050133,0.2
10/9/2022,360050133,0.3
10/10/2022,360050133,0.3
10/11/2022,360050133,0.4
10/12/2022,360050133,0.4
10/13/2022,360050133,0.2
10/14/2022,360050133,0.8
10/15/2022,360050133,0.9
10/16/2022,360050133,0.4
10/17/2022,360050133,0.6
10/18/2022,360050133,0.2
10/19/2022,360050133,0.3
10/20/2022,360050133,0.3
10/21/2022,360050133,0.7
10/22/2022,360050133,0.7
10/23/2022,360050133,0.7
10/24/2022,360050133,0.2
10/25/2022,360050133,0.3
10/26/2022,360050133,0.3
10/27/2022,360050133,0.2
10/28/2022,360050133,0.4
10/29/2022,360050133,0.8
10/30/2022,360050133,0.9
10/31/2022,360050133,0.8
11/1/2022,360050133,0.3
11/2/2022,360050133,0.8
11/3/2022,360050133,0.8
11/4/2022,360050133,0.7
11/5/2022,360050133,0.4
11/6/2022,360050133,0.2
11/7/2022,360050133,0.2
11/8/2022,360050133,0.3
11/9/2022,360050133,0.3
11/10/2022,360050133,0.5
11/11/2022,360050133,0.9
11/12/2022,360050133,0.4
11/13/2022,360050133,0.4
11/14/2022,360050133,0.2
11/15/2022,360050133,0.2
11/16/2022,360050133,0.3
11/17/2022,360050133,0.2
11/18/2022,360050133,0.2
11/19/2022,360050133,0.3
11/20/2022,360050133,0.3
11/21/2022,360050133,0.2
11/22/2022,360050133,0.5
11/23/2022,360050133,0.5
11/24/2022,360050133,0.4
11/25/2022,360050133,0.3
11/26/2022,360050133,0.3
11/27/2022,360050133,0.4
11/28/2022,360050133,0.2
11/29/2022,360050133,0.4
11/30/2022,360050133,0.6
12/1/2022,360050133,0.2
12/2/2022,360050133,0.4
12/3/2022,360050133,0.3
12/4/2022,360050133,0.3
12/5/2022,360050133,0.7
12/6/2022,360050133,0.9
12/7/2022,360050133,0.6
12/8/2022,360050133,0.3
12/9/2022,360050133,0.2
12/10/2022,360050133,0.2
12/11/2022,360050133,0.2
12/12/2022,360050133,0.4
12/13/2022,360050133,0.6
12/14/2022,360050133,0.5
12/15/2022,360050133,0.3
12/16/2022,360050133,0.2
12/17/2022,360050133,0.3
12/18/2022,360050133,0.3
12/19/2022,360050133,0.3
12/20/2022,360050133,0.4
12/21/2022,360050133,0.7
12/22/2022,360050133,1.3
12/23/2022,360050133,0.2
12/24/2022,360050133,0.2
12/25/2022,360050133,0.3
12/26/2022,360050133,0.3
12/27/2022,360050133,0.3
12/28/2022,360050133,0.5
12/29/2022,360050133,0.7
12/30/2022,360050133,1
12/31/2022,360050133,1.7
1/1/2023,360050133,0.4
1/2/2023,360050133,0.4
1/3/2023,360050133,0.8
1/4/2023,360050133,0.8
1/5/2023,360050133,0.3
1/6/2023,360050133,0.4
1/7/2023,360050133,0.3
1/8/2023,360050133,0.3
1/9/2023,360050133,0.3
1/10/2023,360050133,0.3
1/11/2023,360050133,0.3
1/12/2023,360050133,0.3
1/13/2023,360050133,0.3
1/14/2023,360050133,0.2
1/15/2023,360050133,0.1
1/16/2023,360050133,0.4
1/17/2023,360050133,0.6
1/18/2023,360050133,0.5
1/19/2023,360050133,0.5
1/20/2023,360050133,0.4
1/21/2023,360050133,0.2
1/22/2023,360050133,0.2
1/23/2023,360050133,0.4
1/24/2023,360050133,0.2
1/25/2023,360050133,0.4
1/26/2023,360050133,0.3
1/27/2023,360050133,0.3
1/28/2023,360050133,0.3
1/29/2023,360050133,0.6
1/30/2023,360050133,0.5
1/31/2023,360050133,0.5
2/1/2023,360050133,0.3
2/2/2023,360050133,0.4
2/3/2023,360050133,0.3
2/4/2023,360050133,0.2
2/5/2023,360050133,0.8
2/6/2023,360050133,1.3
2/7/2023,360050133,0.3
2/8/2023,360050133,0.4
2/9/2023,360050133,0.9
2/10/2023,360050133,0.3
2/11/2023,360050133,0.3
2/12/2023,360050133,0.6
2/13/2023,360050133,0.3
2/14/2023,360050133,0.4
2/15/2023,360050133,0.5
2/16/2023,360050133,0.5
2/17/2023,360050133,0.5
2/18/2023,360050133,0.2
2/19/2023,360050133,0.4
2/20/2023,360050133,0.4
2/21/2023,360050133,0.4
2/22/2023,360050133,0.4
2/23/2023,360050133,0.3
2/24/2023,360050133,0.2
2/25/2023,360050133,0.3
2/26/2023,360050133,0.6
2/27/2023,360050133,0.3
2/28/2023,360050133,0.4
3/1/2023,360050133,0.4
3/2/2023,360050133,0.5
3/3/2023,360050133,0.4
3/4/2023,360050133,0.4
3/5/2023,360050133,0.2
3/6/2023,360050133,0.2
3/7/2023,360050133,0.2
3/8/2023,360050133,0.3
3/9/2023,360050133,0.3
3/10/2023,360050133,0.3
3/11/2023,360050133,0.3
3/12/2023,360050133,0.2
3/13/2023,360050133,0.2
3/14/2023,360050133,0.2
3/15/2023,360050133,0.2
3/16/2023,360050133,0.5
3/17/2023,360050133,0.5
3/18/2023,360050133,0.4
3/19/2023,360050133,0.2
3/20/2023,360050133,0.3
3/21/2023,360050133,0.4
3/22/2023,360050133,0.4
3/23/2023,360050133,0.4
3/24/2023,360050133,0.3
3/25/2023,360050133,0.3
3/26/2023,360050133,0.3
3/27/2023,360050133,0.3
3/28/2023,360050133,0.4
3/29/2023,360050133,0.3
3/30/2023,360050133,0.2
3/31/2023,360050133,0.8
4/1/2023,360050133,0.3
4/2/2023,360050133,0.2
4/3/2023,360050133,0.3
4/4/2023,360050133,0.4
4/5/2023,360050133,0.3
4/6/2023,360050133,0.6
4/7/2023,360050133,0.2
4/8/2023,360050133,0.2
4/9/2023,360050133,0.3
4/10/2023,360050133,0.3
4/11/2023,360050133,0.4
4/12/2023,360050133,0.4
4/13/2023,360050133,0.6
4/14/2023,360050133,0.4
4/15/2023,360050133,0.3
4/16/2023,360050133,0.2
4/17/2023,360050133,0.2
4/18/2023,360050133,0.2
4/19/2023,360050133,0.2
4/20/2023,360050133,0.3
4/21/2023,360050133,0.3
4/22/2023,360050133,0.2
4/23/2023,360050133,0.2
4/24/2023,360050133,0.2
4/25/2023,360050133,0.2
4/26/2023,360050133,0.3
4/27/2023,360050133,0.3
4/28/2023,360050133,0.2
4/29/2023,360050133,0.2
4/30/2023,360050133,0.3
5/1/2023,360050133,0.5
5/2/2023,360050133,0.5
5/3/2023,360050133,0.3
5/4/2023,360050133,0.4
5/5/2023,360050133,0.4
5/6/2023,360050133,0.4
5/7/2023,360050133,0.4
5/8/2023,360050133,0.2
5/9/2023,360050133,0.2
5/10/2023,360050133,0.3
5/11/2023,360050133,0.3
5/12/2023,360050133,0.3
5/13/2023,360050133,0.3
5/14/2023,360050133,0.2
5/15/2023,360050133,0.2
5/16/2023,360050133,0.2
5/17/2023,360050133,0.2
5/18/2023,360050133,0.1
5/19/2023,360050133,0.2
5/20/2023,360050133,0.3
5/21/2023,360050133,0.3
5/22/2023,360050133,0.3
5/23/2023,360050133,0.2
5/24/2023,360050133,0.3
5/25/2023,360050133,0.2
5/26/2023,360050133,0.2
5/27/2023,360050133,0.3
5/28/2023,360050133,0.3
5/29/2023,360050133,0.4
5/30/2023,360050133,0.2
5/31/2023,360050133,0.3
6/1/2023,360050133,0.5
6/2/2023,360050133,0.5
6/3/2023,360050133,0.4
6/4/2023,360050133,0.1
6/5/2023,360050133,0.2
6/6/2023,360050133,0.6
6/7/2023,360050133,0.9
6/8/2023,360050133,0.8
6/9/2023,360050133,0.4
6/10/2023,360050133,0.3
6/11/2023,360050133,0.4
6/12/2023,360050133,0.3
6/13/2023,360050133,0.2
6/14/2023,360050133,0.3
6/15/2023,360050133,0.3
6/16/2023,360050133,0.5
6/17/2023,360050133,0.3
6/18/2023,360050133,0.3
6/19/2023,360050133,0.3
6/20/2023,360050133,0.2
6/21/2023,360050133,0.1
6/22/2023,360050133,0.1
6/23/2023,360050133,0.2
6/24/2023,360050133,0.2
6/25/2023,360050133,0.6
6/26/2023,360050133,0.3
6/27/2023,360050133,0.4
6/28/2023,360050133,0.9
6/29/2023,360050133,0.9
6/30/2023,360050133,1
7/1/2023,360050133,0.8
7/2/2023,360050133,0.6
7/3/2023,360050133,0.3
7/4/2023,360050133,0.5
7/5/2023,360050133,0.5
7/6/2023,360050133,0.4
7/7/2023,360050133,0.2
7/8/2023,360050133,0.3
7/9/2023,360050133,0.2
7/10/2023,360050133,0.2
7/11/2023,360050133,0.3
7/12/2023,360050133,0.3
7/13/2023,360050133,0.4
7/14/2023,360050133,0.2
7/15/2023,360050133,0.3
