Date,Site.ID,Daily.Max.8.hour.Ozone.Concentration
6/16/2021,360050133,0.037
6/17/2021,360050133,0.043
6/18/2021,360050133,0.067
6/19/2021,360050133,0.058
6/20/2021,360050133,0.062
6/21/2021,360050133,0.035
6/22/2021,360050133,0.023
6/23/2021,360050133,0.038
6/24/2021,360050133,0.047
6/25/2021,360050133,0.044
6/26/2021,360050133,0.02
6/27/2021,360050133,0.032
6/28/2021,360050133,0.049
6/29/2021,360050133,0.069
6/30/2021,360050133,0.06
7/1/2021,360050133,0.036
7/2/2021,360050133,0.037
7/3/2021,360050133,0.012
7/4/2021,360050133,0.038
7/5/2021,360050133,0.043
7/6/2021,360050133,0.062
7/7/2021,360050133,0.069
7/8/2021,360050133,0.041
7/9/2021,360050133,0.032
7/10/2021,360050133,0.035
7/11/2021,360050133,0.047
7/12/2021,360050133,0.037
7/13/2021,360050133,0.027
7/14/2021,360050133,0.054
7/15/2021,360050133,0.069
7/16/2021,360050133,0.063
7/17/2021,360050133,0.053
7/18/2021,360050133,0.041
7/19/2021,360050133,0.03
7/20/2021,360050133,0.048
7/21/2021,360050133,0.051
7/22/2021,360050133,0.035
7/23/2021,360050133,0.036
7/24/2021,360050133,0.049
7/25/2021,360050133,0.044
7/26/2021,360050133,0.054
7/27/2021,360050133,0.072
7/28/2021,360050133,0.043
7/29/2021,360050133,0.043
7/30/2021,360050133,0.04
7/31/2021,360050133,0.037
8/1/2021,360050133,0.051
8/2/2021,360050133,0.032
8/3/2021,360050133,0.044
8/4/2021,360050133,0.045
8/5/2021,360050133,0.054
8/6/2021,360050133,0.073
8/7/2021,360050133,0.066
8/9/2021,360050133,0.042
8/10/2021,360050133,0.054
8/11/2021,360050133,0.059
8/12/2021,360050133,0.053
8/13/2021,360050133,0.076
8/14/2021,360050133,0.045
8/16/2021,360050133,0.049
8/17/2021,360050133,0.034
8/18/2021,360050133,0.027
8/19/2021,360050133,0.03
8/20/2021,360050133,0.028
8/21/2021,360050133,0.049
8/23/2021,360050133,0.028
8/24/2021,360050133,0.046
8/25/2021,360050133,0.075
8/26/2021,360050133,0.085
8/27/2021,360050133,0.061
8/28/2021,360050133,0.03
8/29/2021,360050133,0.031
8/30/2021,360050133,0.047
8/31/2021,360050133,0.042
9/1/2021,360050133,0.036
9/2/2021,360050133,0.03
9/3/2021,360050133,0.02
9/4/2021,360050133,0.033
9/5/2021,360050133,0.028
9/6/2021,360050133,0.045
9/7/2021,360050133,0.047
9/8/2021,360050133,0.047
9/9/2021,360050133,0.021
9/10/2021,360050133,0.031
9/11/2021,360050133,0.043
9/12/2021,360050133,0.048
9/13/2021,360050133,0.044
9/14/2021,360050133,0.044
9/15/2021,360050133,0.045
9/16/2021,360050133,0.046
9/17/2021,360050133,0.034
9/18/2021,360050133,0.039
9/19/2021,360050133,0.031
9/20/2021,360050133,0.036
9/21/2021,360050133,0.035
9/22/2021,360050133,0.034
9/23/2021,360050133,0.034
9/24/2021,360050133,0.041
9/25/2021,360050133,0.044
9/27/2021,360050133,0.046
9/28/2021,360050133,0.025
9/29/2021,360050133,0.026
9/30/2021,360050133,0.017
10/1/2021,360050133,0.023
10/2/2021,360050133,0.043
10/3/2021,360050133,0.05
10/4/2021,360050133,0.032
10/5/2021,360050133,0.017
10/6/2021,360050133,0.015
10/7/2021,360050133,0.034
10/8/2021,360050133,0.035
10/9/2021,360050133,0.029
10/10/2021,360050133,0.029
10/12/2021,360050133,0.035
10/13/2021,360050133,0.013
10/14/2021,360050133,0.032
10/15/2021,360050133,0.04
10/16/2021,360050133,0.049
10/17/2021,360050133,0.027
10/18/2021,360050133,0.024
10/19/2021,360050133,0.031
10/20/2021,360050133,0.043
10/21/2021,360050133,0.048
10/22/2021,360050133,0.025
10/23/2021,360050133,0.023
10/25/2021,360050133,0.036
10/26/2021,360050133,0.026
10/27/2021,360050133,0.025
10/28/2021,360050133,0.024
10/29/2021,360050133,0.035
10/30/2021,360050133,0.029
11/1/2021,360050133,0.028
11/2/2021,360050133,0.026
11/3/2021,360050133,0.024
11/4/2021,360050133,0.026
11/5/2021,360050133,0.027
11/6/2021,360050133,0.032
11/7/2021,360050133,0.027
11/8/2021,360050133,0.035
11/9/2021,360050133,0.031
11/10/2021,360050133,0.033
11/11/2021,360050133,0.037
11/12/2021,360050133,0.036
11/13/2021,360050133,0.032
11/14/2021,360050133,0.017
11/15/2021,360050133,0.019
11/16/2021,360050133,0.021
11/17/2021,360050133,0.028
11/18/2021,360050133,0.028
11/19/2021,360050133,0.022
11/20/2021,360050133,0.022
11/21/2021,360050133,0.023
11/22/2021,360050133,0.025
11/23/2021,360050133,0.028
11/24/2021,360050133,0.026
11/25/2021,360050133,0.015
11/26/2021,360050133,0.023
11/27/2021,360050133,0.029
11/28/2021,360050133,0.015
11/29/2021,360050133,0.023
11/30/2021,360050133,0.011
12/1/2021,360050133,0.025
12/2/2021,360050133,0.028
12/3/2021,360050133,0.031
12/4/2021,360050133,0.018
12/5/2021,360050133,0.028
12/6/2021,360050133,0.028
12/7/2021,360050133,0.022
12/8/2021,360050133,0.021
12/10/2021,360050133,0.015
12/11/2021,360050133,0.031
12/12/2021,360050133,0.034
12/13/2021,360050133,0.017
12/14/2021,360050133,0.025
12/15/2021,360050133,0.027
12/16/2021,360050133,0.02
12/17/2021,360050133,0.036
12/18/2021,360050133,0.02
12/19/2021,360050133,0.028
12/20/2021,360050133,0.016
12/21/2021,360050133,0.009
12/22/2021,360050133,0.026
12/23/2021,360050133,0.025
12/24/2021,360050133,0.016
12/25/2021,360050133,0.018
12/26/2021,360050133,0.028
12/27/2021,360050133,0.015
12/28/2021,360050133,0.011
12/29/2021,360050133,0.01
12/30/2021,360050133,0.002
1/1/2022,360050110,0.008
1/2/2022,360050110,0.025
1/3/2022,360050110,0.024
1/4/2022,360050110,0.018
1/5/2022,360050110,0.014
1/6/2022,360050110,0.02
1/7/2022,360050110,0.026
1/8/2022,360050110,0.03
1/9/2022,360050110,0.023
1/10/2022,360050110,0.031
1/11/2022,360050110,0.028
1/13/2022,360050110,0.005
1/14/2022,360050110,0.023
1/15/2022,360050110,0.026
1/16/2022,360050110,0.033
1/17/2022,360050110,0.031
1/18/2022,360050110,0.029
1/19/2022,360050110,0.018
1/20/2022,360050110,0.03
1/21/2022,360050110,0.026
1/22/2022,360050110,0.022
1/23/2022,360050110,0.024
1/24/2022,360050110,0.021
1/25/2022,360050110,0.029
1/26/2022,360050110,0.032
1/27/2022,360050110,0.024
1/28/2022,360050110,0.019
1/29/2022,360050110,0.029
1/30/2022,360050110,0.03
1/31/2022,360050110,0.024
2/1/2022,360050110,0.028
2/2/2022,360050110,0.004
2/3/2022,360050110,0.016
2/4/2022,360050110,0.02
2/5/2022,360050110,0.03
2/6/2022,360050110,0.03
2/7/2022,360050110,0.007
2/8/2022,360050110,0.028
2/9/2022,360050110,0.019
2/10/2022,360050110,0.028
2/11/2022,360050110,0.033
2/12/2022,360050110,0.034
2/13/2022,360050110,0.027
2/14/2022,360050110,0.03
2/15/2022,360050110,0.03
2/16/2022,360050110,0.027
2/17/2022,360050110,0.029
2/18/2022,360050110,0.034
2/19/2022,360050110,0.034
2/20/2022,360050110,0.03
2/21/2022,360050110,0.016
2/22/2022,360050110,0.022
2/23/2022,360050110,0.034
2/24/2022,360050110,0.026
2/25/2022,360050110,0.03
2/26/2022,360050110,0.035
2/27/2022,360050110,0.038
2/28/2022,360050110,0.036
3/1/2022,360050110,0.031
3/2/2022,360050110,0.037
3/3/2022,360050110,0.036
3/4/2022,360050110,0.028
3/5/2022,360050110,0.031
3/6/2022,360050110,0.026
3/7/2022,360050110,0.036
3/8/2022,360050110,0.039
3/9/2022,360050110,0.017
3/10/2022,360050110,0.027
3/11/2022,360050110,0.035
3/12/2022,360050110,0.036
3/13/2022,360050110,0.034
3/14/2022,360050110,0.034
3/15/2022,360050110,0.035
3/16/2022,360050110,0.038
3/17/2022,360050110,0.028
3/18/2022,360050110,0.033
3/19/2022,360050110,0.032
3/20/2022,360050110,0.031
3/21/2022,360050110,0.044
3/22/2022,360050110,0.041
3/23/2022,360050110,0.029
3/24/2022,360050110,0.027
3/25/2022,360050110,0.031
3/26/2022,360050110,0.03
3/27/2022,360050110,0.031
3/28/2022,360050110,0.031
3/29/2022,360050110,0.032
3/30/2022,360050110,0.029
