"","Date","Source","Site.ID","POC","Daily.Max.1.hour.NO2.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1492","04/01/2021","AQS",360810124,1,24.5,"ppb",23,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1493","04/02/2021","AQS",360810124,1,11.4,"ppb",10,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1494","04/03/2021","AQS",360810124,1,43,"ppb",41,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1495","04/04/2021","AQS",360810124,1,36.2,"ppb",34,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1496","04/05/2021","AQS",360810124,1,18.7,"ppb",17,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1497","04/06/2021","AQS",360810124,1,39.5,"ppb",37,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1498","04/07/2021","AQS",360810124,1,37.3,"ppb",35,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1499","04/08/2021","AQS",360810124,1,42.8,"ppb",40,"QUEENS COLLEGE 2",19,79,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1500","04/09/2021","AQS",360810124,1,17.2,"ppb",16,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1501","04/10/2021","AQS",360810124,1,24.2,"ppb",23,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1502","04/11/2021","AQS",360810124,1,17.9,"ppb",16,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1503","04/12/2021","AQS",360810124,1,11.3,"ppb",10,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1504","04/13/2021","AQS",360810124,1,15.3,"ppb",14,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
