"","Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"637","10/08/2021","AQS",360050133,1,0.035,"ppm",32,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"638","10/09/2021","AQS",360050133,1,0.029,"ppm",27,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"639","10/10/2021","AQS",360050133,1,0.029,"ppm",27,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"640","10/12/2021","AQS",360050133,1,0.035,"ppm",32,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"641","10/13/2021","AQS",360050133,1,0.013,"ppm",12,"PFIZER LAB SITE",13,76,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"642","10/14/2021","AQS",360050133,1,0.032,"ppm",30,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"643","10/15/2021","AQS",360050133,1,0.04,"ppm",37,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"644","10/16/2021","AQS",360050133,1,0.049,"ppm",45,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"645","10/17/2021","AQS",360050133,1,0.027,"ppm",25,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"646","10/18/2021","AQS",360050133,1,0.024,"ppm",22,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"647","10/19/2021","AQS",360050133,1,0.031,"ppm",29,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"648","10/20/2021","AQS",360050133,1,0.043,"ppm",40,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
