Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
7/13/2021,360050133,6.9
7/14/2021,360050133,23.5
7/15/2021,360050133,22.3
7/16/2021,360050133,19.3
7/17/2021,360050133,19.9
7/18/2021,360050133,11.7
7/19/2021,360050133,31.9
7/20/2021,360050133,24
7/21/2021,360050133,23.4
7/22/2021,360050133,9.2
7/23/2021,360050133,16
7/24/2021,360050133,19.6
7/25/2021,360050133,12.5
7/26/2021,360050133,24.8
7/27/2021,360050133,44.2
7/28/2021,360050133,11.3
7/29/2021,360050133,20.8
7/30/2021,360050133,12.2
7/31/2021,360050133,17.5
8/1/2021,360050133,22.3
8/2/2021,360050133,15.3
8/3/2021,360050133,27.7
8/4/2021,360050133,32
8/5/2021,360050133,17
8/6/2021,360050133,28.7
8/7/2021,360050133,18.2
8/8/2021,360050133,13.6
8/9/2021,360050133,18.6
8/10/2021,360050133,23.1
8/11/2021,360050133,29.6
8/12/2021,360050133,31.4
8/13/2021,360050133,32.2
8/14/2021,360050133,13.1
8/15/2021,360050133,9.6
8/16/2021,360050133,12.2
8/17/2021,360050133,9.3
8/18/2021,360050133,19.1
8/19/2021,360050133,13.5
8/20/2021,360050133,21.2
8/21/2021,360050133,15.6
8/22/2021,360050133,13.9
8/23/2021,360050133,15.6
8/24/2021,360050133,21.7
8/25/2021,360050133,35
8/26/2021,360050133,30.2
8/27/2021,360050133,33.4
8/28/2021,360050133,10.1
8/29/2021,360050133,18.1
8/30/2021,360050133,22.2
8/31/2021,360050133,16.6
9/1/2021,360050133,21.1
9/2/2021,360050133,12.2
9/3/2021,360050133,12.6
9/4/2021,360050133,21.6
9/5/2021,360050133,22.6
9/6/2021,360050133,13.5
9/7/2021,360050133,24.4
9/8/2021,360050133,24
9/9/2021,360050133,37.3
9/10/2021,360050133,13
9/11/2021,360050133,17.5
9/12/2021,360050133,14.8
9/13/2021,360050133,21.4
9/14/2021,360050133,19.8
9/15/2021,360050133,31.9
9/16/2021,360050133,9.9
9/17/2021,360050133,7.3
9/18/2021,360050133,23.2
9/19/2021,360050133,19.5
9/20/2021,360050133,16.7
9/21/2021,360050133,19.1
9/22/2021,360050133,10.5
9/23/2021,360050133,13.6
9/24/2021,360050133,21.8
9/25/2021,360050133,32.6
9/26/2021,360050133,28.5
9/27/2021,360050133,23.5
9/28/2021,360050133,28.7
9/29/2021,360050133,15
9/30/2021,360050133,13.7
10/1/2021,360050133,26.7
10/2/2021,360050133,28.5
10/3/2021,360050133,25.3
10/4/2021,360050133,28.4
10/5/2021,360050133,9.4
10/6/2021,360050133,27.9
10/7/2021,360050133,36.1
10/8/2021,360050133,32.2
10/9/2021,360050133,5.9
10/10/2021,360050133,4.5
10/11/2021,360050133,15.1
10/12/2021,360050133,30.5
10/13/2021,360050133,33.9
10/14/2021,360050133,31.9
10/15/2021,360050133,33.7
10/16/2021,360050133,15.8
10/17/2021,360050133,12.3
10/18/2021,360050133,15.8
10/19/2021,360050133,21.1
10/20/2021,360050133,30.2
10/21/2021,360050133,40.9
10/22/2021,360050133,19.5
10/23/2021,360050133,11.2
10/24/2021,360050133,22.8
10/25/2021,360050133,28.1
10/26/2021,360050133,19.1
10/27/2021,360050133,9.6
10/28/2021,360050133,17.1
10/29/2021,360050133,14.6
10/30/2021,360050133,14.6
11/1/2021,360050133,27.1
11/2/2021,360050133,30.4
11/3/2021,360050133,16.8
11/4/2021,360050133,31.3
11/5/2021,360050133,32.6
11/6/2021,360050133,36.2
11/7/2021,360050133,35.3
11/8/2021,360050133,40.8
11/9/2021,360050133,50.4
11/10/2021,360050133,39.8
11/11/2021,360050133,30.8
11/12/2021,360050133,33.5
11/13/2021,360050133,31
11/14/2021,360050133,16.1
11/15/2021,360050133,23.9
11/16/2021,360050133,28
11/17/2021,360050133,39.2
11/18/2021,360050133,48.3
11/19/2021,360050133,15.7
11/20/2021,360050133,26.1
11/21/2021,360050133,20.7
11/22/2021,360050133,20.7
