"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/21/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/22/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/23/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/24/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/25/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/26/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/27/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/28/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/29/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/30/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/01/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/02/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/03/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","15","63.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/04/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","14","58.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/05/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","16","67.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/06/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/07/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/08/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/09/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/10/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/11/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/12/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/13/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/14/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"05/15/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
